"Day","Net Profit (Accumulated) (SGD)"
11,-2180265
12,-2134375
13,-2734954
14,-1352894
15,-1432516
16,-1901516
17,-1901418
18,-1892151
19,-1885905
20,-2579466
21,-1704757
22,-1208485
23,-1208192
24,-673520
25,-685854
26,-1364260
27,-886156
28,61139
29,26384
30,63790
31,-672518
32,479695
33,691723
34,723716
35,1028409
36,1016979
37,276851
38,314707
39,471823
40,329262
41,375732
42,-294805
43,-347172
44,-18774
45,868531
46,-44560
47,-54211
48,529040
49,1212904
50,1275776
51,1088120
52,1267908
53,1757184
54,1912520
55,1877464
56,1876901
57,2386625
58,2390323
59,1849627
60,824201
61,1210781
62,826205
63,853941
64,1428803
65,1401957
66,1396802
67,1010264
68,1091462
69,794680
70,1511562
71,2561935
72,2605597
73,3021729
74,3107885
75,3130537
76,2826022
77,2842711
78,3011179
79,2629713
80,2637973
81,2636468
82,3974012
83,3790436
84,3571619
85,4217933
86,4195893
87,3145917
88,3505073
89,3739639
90,4127261
