[HIGHEST OVERHEAD] SHIPPING EXPENSE: 41.67%
[CASH DEFICIT] Day: 12, Amount: SGD 174915
[CASH DEFICIT] Day: 13, Amount: SGD 70710
[CASH DEFICIT] Day: 15, Amount: SGD 150451
[CASH DEFICIT] Day: 16, Amount: SGD 178707
[CASH DEFICIT] Day: 18, Amount: SGD 116727
[CASH DEFICIT] Day: 23, Amount: SGD 195684
[CASH DEFICIT] Day: 24, Amount: SGD 48724
[CASH DEFICIT] Day: 26, Amount: SGD 72678
[CASH DEFICIT] Day: 27, Amount: SGD 169341
[CASH DEFICIT] Day: 30, Amount: SGD 158077
[CASH DEFICIT] Day: 31, Amount: SGD 194497
[CASH DEFICIT] Day: 33, Amount: SGD 231878
[CASH DEFICIT] Day: 35, Amount: SGD 124082
[CASH DEFICIT] Day: 36, Amount: SGD 161148
[CASH DEFICIT] Day: 37, Amount: SGD 30775
[CASH DEFICIT] Day: 40, Amount: SGD 498410
[CASH DEFICIT] Day: 43, Amount: SGD 140404
[CASH DEFICIT] Day: 45, Amount: SGD 143769
[CASH DEFICIT] Day: 48, Amount: SGD 387769
[CASH DEFICIT] Day: 49, Amount: SGD 116746
[CASH DEFICIT] Day: 53, Amount: SGD 607727
[CASH DEFICIT] Day: 55, Amount: SGD 567424
[CASH DEFICIT] Day: 57, Amount: SGD 39979
[CASH DEFICIT] Day: 60, Amount: SGD 40441
[CASH DEFICIT] Day: 61, Amount: SGD 130706
[CASH DEFICIT] Day: 63, Amount: SGD 275131
[CASH DEFICIT] Day: 64, Amount: SGD 5721
[CASH DEFICIT] Day: 65, Amount: SGD 237872
[CASH DEFICIT] Day: 68, Amount: SGD 547685
[CASH DEFICIT] Day: 69, Amount: SGD 49509
[CASH DEFICIT] Day: 72, Amount: SGD 286635
[CASH DEFICIT] Day: 76, Amount: SGD 566609
[CASH DEFICIT] Day: 77, Amount: SGD 460882
[CASH DEFICIT] Day: 80, Amount: SGD 346339
[CASH DEFICIT] Day: 83, Amount: SGD 607709
[CASH DEFICIT] Day: 86, Amount: SGD 35999
[CASH DEFICIT] Day: 87, Amount: SGD 252143

[HIGHEST CASH DEFICIT] Day 53, Amount: SGD 607727
[2ND HIGHEST CASH DEFICIT] Day 83, Amount: SGD 607709
[3RD HIGHEST CASH DEFICIT] Day 55, Amount: SGD 567424
[NET PROFIT DEFICIT] Day: 13, Amount: SGD 600579
[NET PROFIT DEFICIT] Day: 15, Amount: SGD 79622
[NET PROFIT DEFICIT] Day: 16, Amount: SGD 469000
[NET PROFIT DEFICIT] Day: 20, Amount: SGD 693561
[NET PROFIT DEFICIT] Day: 25, Amount: SGD 12334
[NET PROFIT DEFICIT] Day: 26, Amount: SGD 678406
[NET PROFIT DEFICIT] Day: 29, Amount: SGD 34755
[NET PROFIT DEFICIT] Day: 31, Amount: SGD 736308
[NET PROFIT DEFICIT] Day: 36, Amount: SGD 11430
[NET PROFIT DEFICIT] Day: 37, Amount: SGD 740128
[NET PROFIT DEFICIT] Day: 40, Amount: SGD 142561
[NET PROFIT DEFICIT] Day: 42, Amount: SGD 670537
[NET PROFIT DEFICIT] Day: 43, Amount: SGD 52367
[NET PROFIT DEFICIT] Day: 46, Amount: SGD 913091
[NET PROFIT DEFICIT] Day: 47, Amount: SGD 9651
[NET PROFIT DEFICIT] Day: 51, Amount: SGD 187656
[NET PROFIT DEFICIT] Day: 55, Amount: SGD 35056
[NET PROFIT DEFICIT] Day: 56, Amount: SGD 563
[NET PROFIT DEFICIT] Day: 59, Amount: SGD 540696
[NET PROFIT DEFICIT] Day: 60, Amount: SGD 1025426
[NET PROFIT DEFICIT] Day: 62, Amount: SGD 384576
[NET PROFIT DEFICIT] Day: 65, Amount: SGD 26846
[NET PROFIT DEFICIT] Day: 66, Amount: SGD 5155
[NET PROFIT DEFICIT] Day: 67, Amount: SGD 386538
[NET PROFIT DEFICIT] Day: 69, Amount: SGD 296782
[NET PROFIT DEFICIT] Day: 76, Amount: SGD 304515
[NET PROFIT DEFICIT] Day: 79, Amount: SGD 381466
[NET PROFIT DEFICIT] Day: 81, Amount: SGD 1505
[NET PROFIT DEFICIT] Day: 83, Amount: SGD 183576
[NET PROFIT DEFICIT] Day: 84, Amount: SGD 218817
[NET PROFIT DEFICIT] Day: 86, Amount: SGD 22040
[NET PROFIT DEFICIT] Day: 87, Amount: SGD 1049976

[HIGHEST NET PROFIT DEFICIT] Day 87, Amount: SGD 1049976
[2ND HIGHEST NET PROFIT DEFICIT] Day 60, Amount: SGD 1025426
[3RD HIGHEST NET PROFIT DEFICIT] Day 46, Amount: SGD 913091
